player_id,player_registration,player_seconds_online,region,payment_gw,description,is_package,package_id,money,currency,date_start,date_end,is_successful,is_refunded
8602275,2023-08-26 16:15:35,98194,LV,Stripe,Player case II x 10,1,1447,3,EUR,2023-09-03 23:43:25,2023-09-03 23:43:39,1,0
5759318,2022-01-12 18:11:49,2124764,NL,Stripe,Spring case x 50,1,1430,8,EUR,2023-09-04 15:54:19,2023-09-04 15:55:04,1,0
2099762,2020-04-15 20:29:33,3341714,GE,Stripe,Hero [Lifetime],1,4,5.6,GEL,2023-09-04 16:12:10,2023-09-04 16:12:58,1,0
1024967,2018-04-16 22:33:56,18579258,CA,Stripe,Черный ящик SkyBlock x 5,1,282,1.9,CAD,2023-09-05 01:15:44,2023-09-05 01:16:02,1,0
1024967,2018-04-16 22:33:56,18579258,CA,Stripe,Черный ящик SkyBlock x 5,1,282,1.9,CAD,2023-09-05 01:16:49,2023-09-05 01:17:03,1,0
6717412,2022-05-23 00:40:31,831506,FJ,Stripe,Suffix ☢,1,1010,1,USD,2023-09-05 13:43:22,2023-09-05 13:44:31,1,0
8492784,2023-07-07 14:50:27,203970,GR,XSOLLA,Skilled [Lifetime],1,2,3.7,EUR,2023-09-05 18:15:34,2023-09-05 18:16:40,1,0
8492784,2023-07-07 14:50:27,204301,GR,XSOLLA,Expert [Lifetime],1,3,3.7,EUR,2023-09-05 18:22:46,2023-09-05 18:23:45,1,0
3671461,2021-02-28 20:48:25,2709213,US,Stripe,Autumn case x 50,1,1689,7,USD,2023-09-05 20:17:52,2023-09-05 20:18:25,1,0
3671461,2021-02-28 20:48:25,2709213,US,Stripe,Autumn case x 50,1,1689,7,USD,2023-09-05 20:18:37,2023-09-05 20:19:05,1,0
8492784,2023-07-07 14:50:27,207846,GR,XSOLLA,YouTube [Lifetime],1,231,6.5,EUR,2023-09-06 13:59:20,2023-09-06 14:00:16,1,0
5440602,2021-11-18 23:49:29,2876447,PL,Stripe,Imperator [Lifetime],1,310,35.4,PLN,2023-09-06 17:05:11,2023-09-06 17:08:00,1,0
4978931,2021-09-07 16:47:44,5804513,DE,XSOLLA,Nickname change,1,229,4.5,EUR,2023-09-06 17:15:35,2023-09-06 17:16:11,1,0
5440602,2021-11-18 23:49:29,2889207,PL,Stripe,Suffix ❖,1,1005,1,PLN,2023-09-06 23:12:49,2023-09-06 23:16:10,1,0
2099762,2020-04-15 20:29:33,3419682,GE,Stripe,YouTube [Lifetime],1,231,4.6,GEL,2023-09-07 12:36:52,2023-09-07 12:37:35,1,0
2099762,2020-04-15 20:29:33,3419682,GE,Stripe,Autumn case x 25,1,1688,5,GEL,2023-09-07 12:41:56,2023-09-07 12:42:20,1,0
8394467,2023-05-31 10:30:15,137834,UA,Stripe,Золото,1,1530,13,UAH,2023-09-07 18:07:16,2023-09-07 18:07:44,1,0
2472288,2020-07-27 18:46:17,7654240,CZ,XSOLLA,Autumn case x 10,1,1687,2,USD,2023-09-08 01:26:49,2023-09-08 01:28:43,1,0
8614726,2023-09-01 17:12:09,64791,MN,Stripe,Expert [Lifetime],1,3,7.5,USD,2023-09-08 11:29:42,2023-09-08 11:30:32,1,0
8614726,2023-09-01 17:12:09,66187,MN,Stripe,Hero [Lifetime],1,4,1.9,USD,2023-09-08 11:37:22,2023-09-08 11:38:26,1,0
8619386,2023-09-03 22:33:27,3773,PL,Stripe,Skilled [Lifetime],1,2,3.7,PLN,2023-09-08 14:23:57,2023-09-08 14:24:35,1,0
8619386,2023-09-03 22:33:27,6585,PL,Stripe,Gold,1,1534,5,PLN,2023-09-08 15:11:30,2023-09-08 15:13:01,1,0
2099762,2020-04-15 20:29:33,3455558,GE,Stripe,King [Lifetime],1,308,4.6,GEL,2023-09-08 15:46:59,2023-09-08 15:48:23,1,0
8622673,2023-09-06 15:06:52,69843,MN,Stripe,Autumn case x 25,1,1688,5,USD,2023-09-09 01:12:56,2023-09-09 01:14:05,1,0
8622673,2023-09-06 15:06:52,82659,MN,Stripe,Hero [Lifetime],1,4,9.3,USD,2023-09-09 12:03:26,2023-09-09 12:04:12,1,0
4572858,2021-07-09 11:39:59,8548804,GE,XSOLLA,Spring case x 50,1,1430,7.9,GEL,2023-09-09 16:59:58,2023-09-09 17:00:44,1,0
8614726,2023-09-01 17:12:09,97228,MN,Stripe,Autumn case x 10,1,1687,2,USD,2023-09-09 17:00:46,2023-09-09 17:00:57,1,0
6270092,2022-03-17 20:19:39,2650785,SY,XSOLLA,Suffix  ¯\_(ツ)_/¯,1,1007,1,USD,2023-09-09 17:41:03,2023-09-09 17:41:49,1,0
3608137,2021-02-20 17:55:27,1727563,UA,Stripe,Skilled [Навсегда],1,2,1.9,UAH,2023-09-09 18:38:02,2023-09-09 18:40:18,1,0
8603959,2023-08-27 13:31:11,201349,PL,Stripe,Autumn case x 25,1,1688,5,PLN,2023-09-10 13:27:51,2023-09-10 13:28:09,1,0
7936676,2023-01-17 19:49:40,1006346,UA,Stripe,Осенний кейс x 50,1,1689,7,UAH,2023-09-11 16:11:06,2023-09-11 16:12:45,1,0
4763076,2021-08-07 22:06:28,447786,MK,Stripe,Expert [Lifetime],1,3,5.6,USD,2023-09-11 23:28:30,2023-09-11 23:32:18,1,0
5407444,2021-11-13 10:02:18,812699,GE,Stripe,Gold,1,1535,7.9,GEL,2023-09-12 10:27:46,2023-09-12 10:28:04,1,0
7811524,2022-12-18 15:01:58,277297,UA,Stripe,Expert [Навсегда],1,3,5.6,UAH,2023-09-12 13:30:17,2023-09-12 13:31:11,1,0
6252197,2022-03-15 18:20:34,167576,DE,Stripe,Restore your account,1,234,1.5,EUR,2023-09-12 23:24:04,2023-09-13 00:11:48,1,0
5407444,2021-11-13 10:02:18,826275,GE,Stripe,Autumn case x 5,1,1686,1.2,GEL,2023-09-13 10:34:33,2023-09-13 10:35:00,1,0
5407444,2021-11-13 10:02:18,826275,GE,Stripe,Autumn case x 10,1,1687,2,GEL,2023-09-13 10:41:47,2023-09-13 10:42:09,1,0
5407444,2021-11-13 10:02:18,826275,GE,Stripe,Autumn case x 5,1,1686,1.2,GEL,2023-09-13 10:45:29,2023-09-13 10:45:49,1,0
5714740,2022-01-04 23:49:25,875421,UA,Stripe,Осенний кейс x 50,1,1689,7,UAH,2023-09-13 10:46:53,2023-09-13 10:47:13,1,0
6120569,2022-02-26 15:47:33,6613890,UA,XSOLLA,Увеличение лимитов,1,1670,2.5,UAH,2023-09-13 14:59:22,2023-09-13 15:09:00,1,0
8442104,2023-06-17 22:40:01,1395856,BH,XSOLLA,Suffix ℍeLℙ,1,1009,1,USD,2023-09-13 15:15:54,2023-09-13 15:16:25,1,0
5268588,2021-10-24 12:45:03,1213055,UA,Stripe,Expert [Навсегда],1,3,3.7,UAH,2023-09-13 16:45:26,2023-09-13 16:51:58,1,0
5714740,2022-01-04 23:49:25,878136,UA,Stripe,Осенний кейс x 50,1,1689,7,UAH,2023-09-13 18:17:06,2023-09-13 18:17:35,1,0
5714740,2022-01-04 23:49:25,880714,UA,Stripe,Свой префикс,1,233,14.5,UAH,2023-09-13 19:05:41,2023-09-13 19:05:57,1,0
8602275,2023-08-26 16:15:35,139544,LV,Stripe,Autumn case x 50,1,1689,7,EUR,2023-09-14 15:24:02,2023-09-14 15:24:18,1,0
8631366,2023-09-10 19:59:26,31937,UA,Stripe,Hero [Навсегда],1,4,9.3,UAH,2023-09-14 15:46:25,2023-09-14 15:48:18,1,0
8631366,2023-09-10 19:59:26,31937,UA,Stripe,Золото,1,1529,8,UAH,2023-09-14 15:50:50,2023-09-14 15:51:34,1,0
8631366,2023-09-10 19:59:26,32499,UA,Stripe,Суффикс Wednesday,1,1642,1.3,UAH,2023-09-14 16:02:34,2023-09-14 16:03:00,1,0
8633699,2023-09-12 14:49:08,15348,UA,Stripe,Skilled [Навсегда],1,2,3.7,UAH,2023-09-14 17:36:16,2023-09-14 17:37:39,1,0
5714740,2022-01-04 23:49:25,889284,UA,Stripe,Осенний кейс x 50,1,1689,7,UAH,2023-09-14 19:47:54,2023-09-14 19:48:21,1,0
8269622,2023-04-17 09:23:48,2377857,UA,XSOLLA,Skilled [Навсегда],1,2,1.9,UAH,2023-09-14 20:53:54,2023-09-14 20:54:50,1,0
2361302,2020-06-23 13:02:35,12436645,ID,XSOLLA,Increasing limits,1,1670,2.5,USD,2023-09-14 21:41:37,2023-09-14 21:43:00,1,0
6807485,2022-06-06 14:43:30,180455,DE,Stripe,Skilled [Lifetime],1,2,1.9,EUR,2023-09-14 22:38:43,2023-09-14 22:39:32,1,0
5786737,2022-01-16 15:17:01,186691,UA,Stripe,Gamer [Навсегда],1,1,1.9,UAH,2023-09-15 12:50:25,2023-09-15 12:54:26,1,0
8636579,2023-09-14 15:01:25,12146,UA,XSOLLA,Gamer [Навсегда],1,1,1.9,UAH,2023-09-15 14:10:25,2023-09-15 14:11:15,1,0
804523,2018-01-04 21:46:38,3012315,RO,XSOLLA,Hero [Lifetime],1,4,5.6,RON,2023-09-15 14:33:48,2023-09-15 14:36:56,1,0
804523,2018-01-04 21:46:38,3012315,RO,XSOLLA,Autumn case x 10,1,1687,2,RON,2023-09-15 14:39:55,2023-09-15 14:40:23,1,0
5407444,2021-11-13 10:02:18,837805,GE,Stripe,Particles x 1,1,1576,1.5,GEL,2023-09-15 15:19:05,2023-09-15 15:19:25,1,0
5407444,2021-11-13 10:02:18,837805,GE,Stripe,Miniatures x 1,1,1586,1.5,GEL,2023-09-15 15:20:13,2023-09-15 15:20:29,1,0
8586113,2023-08-18 12:04:34,637713,MD,Stripe,Gold,1,1537,19,USD,2023-09-15 19:39:29,2023-09-15 19:40:07,1,0
7811524,2022-12-18 15:01:58,281232,UA,Stripe,Hero [Навсегда],1,4,1.9,UAH,2023-09-15 21:31:10,2023-09-15 21:31:47,1,0
